name,position,team,points,price
Lloris,GKP,Spurs,98,5.5
Gazzaniga,GKP,Spurs,58,4.5
Alderweireld,DEF,Spurs,97,5.5
Aurier,DEF,Spurs,124,5.5
Sánchez,DEF,Spurs,64,5.5
Rose,DEF,Spurs,47,5
Dier,DEF,Spurs,36,5
Davies,DEF,Spurs,41,5
Sessegnon,DEF,Spurs,9,5
Tanganga,DEF,Spurs,17,5
Foyth,DEF,Spurs,3,4.5
Son,MID,Spurs,169,9
Alli,MID,Spurs,117,8
Bergwijn,MID,Spurs,43,7.5
Lucas Moura,MID,Spurs,100,7
Lo Celso,MID,Spurs,54,7
Lamela,MID,Spurs,65,6
Ndombele,MID,Spurs,45,6
Winks,MID,Spurs,52,5.5
Sissoko,MID,Spurs,69,5
Højbjerg,MID,Spurs,75,5
Fernandes,MID,Spurs,7,5
Skipp,MID,Spurs,7,4.5
Kane,FWD,Spurs,158,10.5
Johnstone,GKP,West Brom,0,4.5
Ajayi,DEF,West Brom,0,5
Gibbs,DEF,West Brom,0,4.5
Bartley,DEF,West Brom,0,4.5
Hegazi,DEF,West Brom,0,4.5
Townsend,DEF,West Brom,0,4.5
Furlong,DEF,West Brom,0,4.5
O'Shea,DEF,West Brom,0,4.5
Grosicki,MID,West Brom,0,5.5
Phillips,MID,West Brom,0,5.5
Livermore,MID,West Brom,0,5
Sawyers,MID,West Brom,0,5
Edwards,MID,West Brom,0,5
Field,MID,West Brom,0,5
Leko,MID,West Brom,0,4.5
Burke,MID,West Brom,0,4.5
Harper,MID,West Brom,0,4.5
Robson-Kanu,FWD,West Brom,0,5.5
Austin,FWD,West Brom,0,5.5
Zohore,FWD,West Brom,0,5
Fabianski,GKP,West Ham,83,5
Randolph,GKP,West Ham,3,4.5
Roberto,GKP,West Ham,18,4.5
Martin,GKP,West Ham,20,4
Ogbonna,DEF,West Ham,81,5
Cresswell,DEF,West Ham,79,5
Fredericks,DEF,West Ham,74,4.5
Masuaku,DEF,West Ham,26,4.5
Balbuena,DEF,West Ham,40,4.5
Diop,DEF,West Ham,76,4.5
Johnson,DEF,West Ham,6,4
Lanzini,MID,West Ham,50,6.5
Felipe Anderson,MID,West Ham,66,6.5
Bowen,MID,West Ham,44,6.5
Fornals,MID,West Ham,93,6.5
Snodgrass,MID,West Ham,87,6
Yarmolenko,MID,West Ham,70,6
Diangana,MID,West Ham,0,5.5
Noble,MID,West Ham,105,5
Wilshere,MID,West Ham,8,5
Rice,MID,West Ham,105,5
Soucek,MID,West Ham,41,5
Antonio,FWD,West Ham,111,6.5
Haller,FWD,West Ham,102,6.5
Hugill,FWD,West Ham,0,5.5
Ajeti,FWD,West Ham,9,5.5
Patrício,GKP,Wolves,153,5.5
Ruddy,GKP,Wolves,0,4.5
Sarkic,GKP,Wolves,0,4.5
Doherty,DEF,Wolves,167,6
Boly,DEF,Wolves,97,5.5
Jonny,DEF,Wolves,123,5.5
Coady,DEF,Wolves,118,5
Saïss,DEF,Wolves,103,5
Bennett,DEF,Wolves,32,4.5
Vinagre,DEF,Wolves,32,4.5
Buur,DEF,Wolves,0,4
Kilman,DEF,Wolves,5,4
Traoré,MID,Wolves,130,6.5
Jota,MID,Wolves,105,6.5
Moutinho,MID,Wolves,113,5.5
Neves,MID,Wolves,97,5.5
Podence,MID,Wolves,25,5.5
Neto,MID,Wolves,57,5.5
Dendoncker,MID,Wolves,100,5
Gibbs-White,MID,Wolves,11,5
Jordao,MID,Wolves,1,4.5
Jiménez,FWD,Wolves,194,8.5
Bonatini,FWD,Wolves,0,5
Campana,FWD,Wolves,0,5
